"SourceId","Document","ParagraphId","Mention"
"SD-022-THESALES","THE SALES OS_2024. Sales System Alignment Draft 22.docx","P0699","4A — Pipeline Intelligence Analyst"
"SD-022-THESALES","THE SALES OS_2024. Sales System Alignment Draft 22.docx","P0723","4B — Automation Infrastructure Engineer"
"SD-022-THESALES","THE SALES OS_2024. Sales System Alignment Draft 22.docx","P0739","AGENT 5 — AI ORCHESTRATION LAYER"
"SD-022-THESALES","THE SALES OS_2024. Sales System Alignment Draft 22.docx","P0759","5A — Autonomous Execution Agent"
"SD-022-THESALES","THE SALES OS_2024. Sales System Alignment Draft 22.docx","P0775","5B — Reasoning Alignment Agent"
"SD-022-THESALES","THE SALES OS_2024. Sales System Alignment Draft 22.docx","P0785","5C — Decision Simulation Agent"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0366","AGENT 1 — MARKET INTELLIGENCE COMMAND"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0438","AGENT 2 — OFFER ENGINEERING COMMAND"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0491","AGENT 3 — ATTENTION ACQUISITION COMMAND"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0524","AGENT 4 — TRUST ACCELERATION COMMAND"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0549","AGENT 5 — CONVERSION EXECUTION COMMAND"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0582","AGENT 6 — FOLLOW-UP & RECOVERY COMMAND"
"SD-004-UNTOLDSA","Untold Sales Success Factors. Draft 4.docx","P0604","AGENT 7 — SALES OPERATING SYSTEM COMMAND"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0395","AGENT: MARKET INTELLIGENCE AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0448","AGENT: POSITIONING AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0479","AGENT: OFFER ARCHITECTURE AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0508","AGENT: LEAD GENERATION AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0539","AGENT: OUTREACH AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0559","AGENT: QUALIFICATION AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0577","AGENT: PERSUASION AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0598","AGENT: CLOSING AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0611","AGENT: RELATIONSHIP & RETENTION AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0627","AGENT: REVENUE OPERATIONS AGENT"
"SD-001-WHATISAS","What is a stratergy. Draft 1.docx","P0642","AGENT: AUTOMATION & AI ORCHESTRATION AGENT"
"SD-066-WHATISSA","What is Sales. Draft 66.docx","P0257","AGENT 1 — MARKET INTELLIGENCE AGENT"
"SD-066-WHATISSA","What is Sales. Draft 66.docx","P0303","AGENT 2 — LEAD GENERATION AGENT"
"SD-066-WHATISSA","What is Sales. Draft 66.docx","P0336","AGENT 3 — SALES CONVERSION AGENT"
"SD-066-WHATISSA","What is Sales. Draft 66.docx","P0372","AGENT 4 — ACCOUNT EXPANSION AGENT"
"SD-066-WHATISSA","What is Sales. Draft 66.docx","P0391","AGENT 5 — SALES OPERATIONS AGENT"
"SD-066-WHATISSA","What is Sales. Draft 66.docx","P0412","AGENT 6 — SALES LEADERSHIP AGENT"
"SRC-D062","Social Media in Sales. Darft 62.docx","P0333","AGENT 1 — PLATFORM INFRASTRUCTURE AGENT"
"SRC-D062","Social Media in Sales. Darft 62.docx","P0441","AGENT 2 — SALES CREATOR / BRAND AGENT"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0366","AGENT 1 — MARKET INTELLIGENCE COMMAND"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0438","AGENT 2 — OFFER ENGINEERING COMMAND"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0491","AGENT 3 — ATTENTION ACQUISITION COMMAND"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0524","AGENT 4 — TRUST ACCELERATION COMMAND"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0549","AGENT 5 — CONVERSION EXECUTION COMMAND"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0582","AGENT 6 — FOLLOW-UP & RECOVERY COMMAND"
"SRC-UNTOLD-SALES-SUCCESS-FAC","Untold Sales Success Factors.docx","P0604","AGENT 7 — SALES OPERATING SYSTEM COMMAND"
"SRC-SALES-TRACKING-AND-ORGAN","Sales Tracking and Organization.docx","P0393","AGENT 1 — REVENUE ORCHESTRATION ENGINE"
"SRC-SALES-TRACKING-AND-ORGAN","Sales Tracking and Organization.docx","P0463","AGENT 2 — SALES EXECUTION ENGINE"
"SRC-SALES-TRACKING-AND-ORGAN","Sales Tracking and Organization.docx","P0516","AGENT 3 — AI COMMERCIAL INTELLIGENCE SYSTEM"
